DeviceID,Latitude,Longitude,Timestamp,Store
DEV_0001,28.6101,77.2072,2026-09-01 06:08:00,Store_A
DEV_0001,28.615792,77.210414,2026-09-01 06:37:00,Store_A
DEV_0001,28.614624,77.205254,2026-09-01 06:40:00,Store_A
DEV_0001,28.611761,77.209816,2026-09-01 06:58:00,Store_A
DEV_0001,28.615628,77.210611,2026-09-01 07:12:00,Store_A
DEV_0001,28.613494,77.207226,2026-09-01 07:40:00,Store_A
DEV_0001,28.61597,77.206277,2026-09-01 07:54:00,Store_A
DEV_0001,28.614223,77.210723,2026-09-01 08:19:00,Store_B
DEV_0001,28.612818,77.212039,2026-09-01 08:31:00,Store_B
DEV_0001,28.61683,77.215457,2026-09-01 08:55:00,Store_B
DEV_0001,28.61629,77.216785,2026-09-01 09:08:00,Store_B
DEV_0001,28.614316,77.211635,2026-09-01 09:28:00,Store_A
DEV_0001,28.616619,77.214637,2026-09-01 09:30:00,Store_B
DEV_0001,28.616085,77.212882,2026-09-01 09:58:00,Store_A
DEV_0001,28.616832,77.208041,2026-09-01 10:13:00,Store_A
DEV_0001,28.613301,77.211842,2026-09-01 10:35:00,Store_B
DEV_0001,28.617615,77.214468,2026-09-01 10:38:00,Store_B
DEV_0001,28.614173,77.206958,2026-09-01 10:53:00,Store_A
DEV_0001,28.61416,77.216403,2026-09-01 11:16:00,Store_B
DEV_0001,28.615377,77.211743,2026-09-01 11:41:00,Store_A
DEV_0001,28.611732,77.205257,2026-09-01 11:52:00,Store_A
DEV_0001,28.614142,77.210688,2026-09-01 12:11:00,Store_B
DEV_0001,28.613701,77.212994,2026-09-01 12:40:00,Store_B
DEV_0001,28.613143,77.210117,2026-09-01 13:04:00,Store_B
DEV_0001,28.617976,77.212427,2026-09-01 13:23:00,Store_B
DEV_0001,28.614896,77.216979,2026-09-01 13:28:00,Store_B
DEV_0001,28.612727,77.209377,2026-09-01 13:32:00,Store_B
DEV_0001,28.61492,77.211337,2026-09-01 13:46:00,Store_A
DEV_0001,28.612978,77.209767,2026-09-01 14:01:00,Store_A
DEV_0001,28.619769,77.215886,2026-09-01 14:02:00,Store_B
DEV_0001,28.615354,77.209296,2026-09-01 14:11:00,Store_A
DEV_0001,28.612892,77.212478,2026-09-01 14:26:00,Store_B
DEV_0001,28.617531,77.212007,2026-09-01 14:35:00,Store_A
DEV_0001,28.613961,77.205851,2026-09-01 14:56:00,Store_A
DEV_0001,28.618733,77.213061,2026-09-01 15:03:00,Store_B
DEV_0001,28.612891,77.206292,2026-09-01 15:28:00,Store_A
DEV_0001,28.614692,77.208909,2026-09-01 15:32:00,Store_A
DEV_0001,28.61903,77.215653,2026-09-01 15:42:00,Store_B
DEV_0001,28.610363,77.212024,2026-09-01 15:45:00,Store_A
DEV_0001,28.615755,77.211528,2026-09-01 16:10:00,Store_A
DEV_0001,28.610927,77.208802,2026-09-02 06:18:00,Store_A
DEV_0001,28.61202,77.211979,2026-09-02 06:32:00,Store_A
DEV_0001,28.617331,77.211042,2026-09-02 06:55:00,Store_A
DEV_0001,28.615604,77.208192,2026-09-02 07:17:00,Store_A
DEV_0001,28.615505,77.213141,2026-09-02 07:21:00,Store_B
DEV_0001,28.611698,77.207705,2026-09-02 07:40:00,Store_A
DEV_0001,28.614608,77.205058,2026-09-02 08:03:00,Store_A
DEV_0001,28.611732,77.212243,2026-09-02 08:31:00,Store_A
DEV_0001,28.612567,77.210904,2026-09-02 08:53:00,Store_B
DEV_0001,28.613714,77.210058,2026-09-02 09:23:00,Store_B
DEV_0001,28.613944,77.212784,2026-09-02 09:37:00,Store_B
DEV_0001,28.610655,77.210272,2026-09-02 09:49:00,Store_A
DEV_0001,28.615289,77.215911,2026-09-02 09:51:00,Store_B
DEV_0001,28.610385,77.210826,2026-09-02 10:17:00,Store_A
DEV_0001,28.611889,77.206522,2026-09-02 10:32:00,Store_A
DEV_0001,28.613275,77.207228,2026-09-02 10:40:00,Store_A
DEV_0001,28.613445,77.211891,2026-09-02 10:58:00,Store_A
DEV_0001,28.610305,77.212994,2026-09-02 11:25:00,Store_A
